LogFilename: 2020-03-08-17:14:08_monitoringLog
JSonLogFilename: 2020-03-08-17:14:08_monitoringLog
vector_extension	format	bitwidth	countValues	repetition	runtime:µs	runtime compr [µs]	size used [byte]	size compr [byte]	runtime decompr [µs]	runtime agg [µs]	check
scalar<v64<uint64_t>>	uncompr_f	32	134217728	1	104201	0	1073741824	0	0	104052	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	32	134217728	1	832280	311904	537133056	537133056	453720	45626	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	32	134217728	1	802797	284148	536870912	536870912	450784	46439	1
scalar<v64<uint64_t>>	uncompr_f	33	134217728	1	104263	0	1073741824	0	0	104112	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	33	134217728	1	854505	323516	553910272	553910272	458284	50734	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	33	134217728	1	824337	296581	553648128	553648128	454834	50851	1
scalar<v64<uint64_t>>	uncompr_f	34	134217728	1	103972	0	1073741824	0	0	103815	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	34	134217728	1	864137	336417	570687488	570687488	452337	52632	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	34	134217728	1	841570	303675	570425344	570425344	459969	55181	1
scalar<v64<uint64_t>>	uncompr_f	35	134217728	1	103963	0	1073741824	0	0	103800	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	35	134217728	1	865938	332610	587464704	587464704	456300	53636	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	35	134217728	1	844364	307297	587202560	587202560	459992	53628	1
scalar<v64<uint64_t>>	uncompr_f	36	134217728	1	104117	0	1073741824	0	0	103952	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	36	134217728	1	867853	336895	604241920	604241920	453443	53443	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	36	134217728	1	856403	313574	603979776	603979776	465005	53885	1
scalar<v64<uint64_t>>	uncompr_f	37	134217728	1	104216	0	1073741824	0	0	104045	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	37	134217728	1	888757	355039	621019136	621019136	452261	56695	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	37	134217728	1	868456	336271	620756992	620756992	451206	56328	1
scalar<v64<uint64_t>>	uncompr_f	38	134217728	1	104332	0	1073741824	0	0	104147	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	38	134217728	1	902146	362241	637796352	637796352	455631	58716	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	38	134217728	1	886253	327523	637534208	637534208	455278	78557	1
scalar<v64<uint64_t>>	uncompr_f	39	134217728	1	113908	0	1073741824	0	0	113724	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	39	134217728	1	909742	357448	654573568	654573568	467201	59058	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	39	134217728	1	883064	334168	654311424	654311424	463809	59051	1
scalar<v64<uint64_t>>	uncompr_f	40	134217728	1	113599	0	1073741824	0	0	113416	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	40	134217728	1	914275	373070	671350784	671350784	455018	59448	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	40	134217728	1	890950	349321	671088640	671088640	455549	59415	1
scalar<v64<uint64_t>>	uncompr_f	41	134217728	1	104020	0	1073741824	0	0	103831	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	41	134217728	1	916495	370092	688128000	688128000	457108	61854	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	41	134217728	1	905495	359294	687865856	687865856	457017	61809	1
scalar<v64<uint64_t>>	uncompr_f	42	134217728	1	104005	0	1073741824	0	0	103811	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	42	134217728	1	936262	382188	704905216	704905216	460271	65708	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	42	134217728	1	904037	353285	704643072	704643072	457595	65134	1
scalar<v64<uint64_t>>	uncompr_f	43	134217728	1	104006	0	1073741824	0	0	103806	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	43	134217728	1	947041	382688	721682432	721682432	471038	64511	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	43	134217728	1	920690	367968	721420288	721420288	459448	64569	1
scalar<v64<uint64_t>>	uncompr_f	44	134217728	1	104322	0	1073741824	0	0	104118	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	44	134217728	1	943406	388412	738459648	738459648	459389	66131	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	44	134217728	1	935183	383277	738197504	738197504	457953	64617	1
scalar<v64<uint64_t>>	uncompr_f	45	134217728	1	104026	0	1073741824	0	0	103817	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	45	134217728	1	956132	395751	755236864	755236864	462754	67548	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	45	134217728	1	948589	387514	754974720	754974720	463564	67423	1
scalar<v64<uint64_t>>	uncompr_f	46	134217728	1	104178	0	1073741824	0	0	103964	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	46	134217728	1	986433	408580	772014080	772014080	475655	71635	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	46	134217728	1	956835	389642	771751936	771751936	465107	71453	1
scalar<v64<uint64_t>>	uncompr_f	47	134217728	1	104091	0	1073741824	0	0	103873	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	47	134217728	1	974037	408276	788791296	788791296	464192	70347	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	47	134217728	1	962261	396285	788529152	788529152	464504	70217	1
scalar<v64<uint64_t>>	uncompr_f	48	134217728	1	104125	0	1073741824	0	0	103906	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	48	134217728	1	976542	411525	805568512	805568512	463786	69416	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	48	134217728	1	963053	398835	805306368	805306368	463078	69341	1
scalar<v64<uint64_t>>	uncompr_f	49	134217728	1	104357	0	1073741824	0	0	104128	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	49	134217728	1	1000302	420914	822345728	822345728	474004	73087	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	49	134217728	1	1002889	415440	822083584	822083584	482196	72967	1
scalar<v64<uint64_t>>	uncompr_f	50	134217728	1	113625	0	1073741824	0	0	113397	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	50	134217728	1	1019912	427787	839122944	839122944	479092	80127	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	50	134217728	1	1014559	414072	838860800	838860800	488042	79596	1
scalar<v64<uint64_t>>	uncompr_f	51	134217728	1	113671	0	1073741824	0	0	113434	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	51	134217728	1	1019147	434012	855900160	855900160	475764	75904	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	51	134217728	1	988455	410901	855638016	855638016	468196	75784	1
scalar<v64<uint64_t>>	uncompr_f	52	134217728	1	113566	0	1073741824	0	0	113327	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	52	134217728	1	1023728	439809	872677376	872677376	470090	79754	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	52	134217728	1	1026278	426870	872415232	872415232	469136	96735	1
scalar<v64<uint64_t>>	uncompr_f	53	134217728	1	113895	0	1073741824	0	0	113651	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	53	134217728	1	1039726	447139	889454592	889454592	479299	78684	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	53	134217728	1	1030718	431474	889192448	889192448	486351	78412	1
scalar<v64<uint64_t>>	uncompr_f	54	134217728	1	104184	0	1073741824	0	0	103937	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	54	134217728	1	1055227	453554	906231808	906231808	478399	88037	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	54	134217728	1	1044260	442590	905969664	905969664	478600	87938	1
scalar<v64<uint64_t>>	uncompr_f	55	134217728	1	104336	0	1073741824	0	0	104085	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	55	134217728	1	1059396	467563	923009024	923009024	474551	81522	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	55	134217728	1	1026528	434120	922746880	922746880	475416	81323	1
scalar<v64<uint64_t>>	uncompr_f	56	134217728	1	104140	0	1073741824	0	0	103883	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	56	134217728	1	1064699	464723	939786240	939786240	482478	81149	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	56	134217728	1	1055731	449650	939524096	939524096	488464	81471	1
scalar<v64<uint64_t>>	uncompr_f	57	134217728	1	104333	0	1073741824	0	0	104068	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	57	134217728	1	1085450	485357	956563456	956563456	478796	84422	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	57	134217728	1	1074678	460116	956301312	956301312	476836	84197	1
scalar<v64<uint64_t>>	uncompr_f	58	134217728	1	104261	0	1073741824	0	0	103973	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	58	134217728	1	1106168	487681	973340672	973340672	485507	95467	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	58	134217728	1	1066703	451849	973078528	973078528	482143	95274	1
scalar<v64<uint64_t>>	uncompr_f	59	134217728	1	104163	0	1073741824	0	0	103893	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	59	134217728	1	1102643	497025	990117888	990117888	480325	87220	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	59	134217728	1	1097022	477989	989855744	989855744	494072	87006	1
scalar<v64<uint64_t>>	uncompr_f	60	134217728	1	104136	0	1073741824	0	0	103860	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	60	134217728	1	1109371	494181	1006895104	1006895104	481013	95530	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	60	134217728	1	1106774	477176	1006632960	1006632960	493332	97792	1
scalar<v64<uint64_t>>	uncompr_f	61	134217728	1	104302	0	1073741824	0	0	104018	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	61	134217728	1	1135769	507416	1023672320	1023672320	482614	89812	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	61	134217728	1	1080392	470296	1023410176	1023410176	481065	89760	1
scalar<v64<uint64_t>>	uncompr_f	62	134217728	1	113556	0	1073741824	0	0	113273	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	62	134217728	1	1146203	504947	1040449536	1040449536	499696	101891	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	62	134217728	1	1113654	486224	1040187392	1040187392	485446	102284	1
scalar<v64<uint64_t>>	uncompr_f	63	134217728	1	104214	0	1073741824	0	0	103919	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	63	134217728	1	1129369	510720	1057226752	1057226752	485894	92480	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	63	134217728	1	1117133	496276	1056964608	1056964608	488005	92588	1
scalar<v64<uint64_t>>	uncompr_f	64	134217728	1	104083	0	1073741824	0	0	103785	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	64	134217728	1	1135126	521490	1074003968	1074003968	486930	85756	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	64	134217728	1	1093208	484115	1073741824	1073741824	483540	84626	1
scalar<v64<uint64_t>>	uncompr_f	1	134217728	2	104292	0	1073741824	0	0	103997	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	1	134217728	2	547303	110634	17039360	17039360	428074	7386	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	1	134217728	2	527063	90465	16777216	16777216	428843	7249	1
scalar<v64<uint64_t>>	uncompr_f	2	134217728	2	104079	0	1073741824	0	0	103775	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	2	134217728	2	558403	115946	33816576	33816576	433097	7467	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	2	134217728	2	542257	99812	33554432	33554432	433158	7410	1
scalar<v64<uint64_t>>	uncompr_f	3	134217728	2	104141	0	1073741824	0	0	103829	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	3	134217728	2	568591	123685	50593792	50593792	433833	8503	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	3	134217728	2	551185	106695	50331648	50331648	433462	8481	1
scalar<v64<uint64_t>>	uncompr_f	4	134217728	2	104441	0	1073741824	0	0	104127	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	4	134217728	2	579515	129045	67371008	67371008	438254	8963	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	4	134217728	2	559544	113459	67108864	67108864	433980	8883	1
scalar<v64<uint64_t>>	uncompr_f	5	134217728	2	113953	0	1073741824	0	0	113640	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	5	134217728	2	588649	137558	84148224	84148224	436608	10563	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	5	134217728	2	568692	120433	83886080	83886080	434062	10315	1
scalar<v64<uint64_t>>	uncompr_f	6	134217728	2	113818	0	1073741824	0	0	113498	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	6	134217728	2	597626	143429	100925440	100925440	438238	11375	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	6	134217728	2	576720	126273	100663296	100663296	434617	11265	1
scalar<v64<uint64_t>>	uncompr_f	7	134217728	2	104243	0	1073741824	0	0	103924	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	7	134217728	2	604962	150656	117702656	117702656	436227	12824	1
