LogFilename: 2020-03-08-19:41:10_monitoringLog
JSonLogFilename: 2020-03-08-19:41:10_monitoringLog
vector_extension	format	bitwidth	countValuesSmall	countValuesLarge	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	check
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	42	1024	134217728	1	384115	293765	61813	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	43	1024	134217728	1	412684	313714	69591	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	43	1024	134217728	1	394902	302581	63131	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	44	1024	134217728	1	416460	317936	68478	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	44	1024	134217728	1	401859	310130	61913	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	45	1024	134217728	1	428946	325879	72344	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	45	1024	134217728	1	412170	315935	65773	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	46	1024	134217728	1	443587	336377	75841	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	46	1024	134217728	1	419343	319819	68420	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	47	1024	134217728	1	450551	343184	75329	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	47	1024	134217728	1	429364	329020	68579	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	48	1024	134217728	1	450596	344626	73309	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	48	1024	134217728	1	437744	338800	66548	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	49	1024	134217728	1	463993	352793	77977	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	49	1024	134217728	1	448569	344338	71230	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	50	1024	134217728	1	475527	360298	81325	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	50	1024	134217728	1	456436	347181	75569	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	51	1024	134217728	1	482115	366885	80743	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	51	1024	134217728	1	462921	354677	73919	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	52	1024	134217728	1	487062	372417	79383	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	52	1024	134217728	1	467066	359764	72341	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	53	1024	134217728	1	501147	381784	83535	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	53	1024	134217728	1	484368	372292	76420	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	54	1024	134217728	1	514257	389463	88207	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	54	1024	134217728	1	499028	378925	83860	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	55	1024	134217728	1	516536	393090	86341	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	55	1024	134217728	1	505398	381083	87518	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	56	1024	134217728	1	530187	407738	84555	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	56	1024	134217728	1	503378	388158	77718	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	57	1024	134217728	1	533620	406135	89063	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	57	1024	134217728	1	517378	397021	82096	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	58	1024	134217728	1	547657	413276	95216	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	58	1024	134217728	1	536908	407797	90314	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	59	1024	134217728	1	551489	420070	91706	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	59	1024	134217728	1	538444	414277	84639	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	60	1024	134217728	1	558990	427935	90615	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	60	1024	134217728	1	544384	421088	83134	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	61	1024	134217728	1	568736	433237	94373	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	61	1024	134217728	1	553531	425392	87247	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	62	1024	134217728	1	582130	440652	99670	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	62	1024	134217728	1	567932	431759	94745	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	63	1024	134217728	1	596146	447226	106750	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	63	1024	134217728	1	567599	435486	90012	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	64	1024	134217728	1	591949	452933	96027	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	64	1024	134217728	1	573453	444410	86351	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	1	1024	134217728	2	39634	22236	16389	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	1	1024	134217728	2	12346	6503	5696	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	2	1024	134217728	2	45793	27951	16218	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	2	1024	134217728	2	22804	15671	5883	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	3	1024	134217728	2	54272	34584	17331	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	3	1024	134217728	2	32015	22911	7098	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	4	1024	134217728	2	61993	42017	16845	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	4	1024	134217728	2	39635	28995	7900	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	5	1024	134217728	2	70742	48266	18535	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	5	1024	134217728	2	49801	36794	9433	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	6	1024	134217728	2	79030	55254	19037	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	6	1024	134217728	2	58267	43543	10368	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	7	1024	134217728	2	88271	62210	20549	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	7	1024	134217728	2	68062	51049	11856	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	8	1024	134217728	2	96901	68433	22275	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	8	1024	134217728	2	75583	56649	13086	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	9	1024	134217728	2	106082	76134	23041	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	9	1024	134217728	2	85781	64921	14295	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	10	1024	134217728	2	115906	84543	23770	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	10	1024	134217728	2	94104	71336	15500	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	11	1024	134217728	2	124128	90120	25662	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	11	1024	134217728	2	104253	78784	17525	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	12	1024	134217728	2	132327	97186	26141	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	12	1024	134217728	2	112257	85001	18628	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	13	1024	134217728	2	144334	106263	28421	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	13	1024	134217728	2	123277	92881	21094	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	14	1024	134217728	2	151792	111727	29708	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	14	1024	134217728	2	132616	101712	21025	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	15	1024	134217728	2	159910	118193	30707	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	15	1024	134217728	2	141383	106520	24197	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	16	1024	134217728	2	166351	124490	30164	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	16	1024	134217728	2	147072	112407	23290	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	17	1024	134217728	2	177875	132170	33339	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	17	1024	134217728	2	160131	120502	27598	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	18	1024	134217728	2	187884	140515	34314	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	18	1024	134217728	2	167323	127938	26668	1
