LogFilename: 2020-06-01-21:42:38_monitoringLog
JSonLogFilename: 2020-06-01-21:42:38_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
X_233_2	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	25428896	25408576
lineorder.lo_partkey	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_partkey	static_vbp_f<vbp_l<20, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1500099336	1500094720
lineorder.lo_partkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	600038145	600037888	1501277064	1501266688
lineorder.lo_partkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	4837824136	4837801344
lineorder.lo_partkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	1542306504	1542283584
X_235_0	uncompr_f	uncompr_f	729	0	5832	0
X_235_0	static_vbp_f<vbp_l<11, 8> >	static_vbp_f<vbp_l<bw, 8> >	729	512	3848	704
X_235_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	729	512	10824	768
X_235_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	729	0	22472	0
X_235_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	729	0	22600	0
C_128	uncompr_f	uncompr_f	279561	0	2236488	0
C_128	static_vbp_f<vbp_l<21, 8> >	static_vbp_f<vbp_l<bw, 8> >	279561	279552	736584	733824
C_128	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	279561	279552	690824	682432
C_128	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	279561	279552	278920	262208
C_128	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	279561	279552	473352	456512
supplier.s_suppkey	uncompr_f	uncompr_f	200000	0	1600000	0
supplier.s_suppkey	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	200000	199680	454144	449280
supplier.s_suppkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	200000	199680	428480	417600
supplier.s_suppkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	131520	112320
supplier.s_suppkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	270528	251200
X_186_0	uncompr_f	uncompr_f	144419127	0	1155353016	0
X_186_0	static_vbp_f<vbp_l<22, 8> >	static_vbp_f<vbp_l<bw, 8> >	144419127	144418816	397157048	397151744
X_186_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	144419127	144418816	397444664	397433856
X_186_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	1164395832	1164376704
X_186_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	407325496	407306240
date.d_year	uncompr_f	uncompr_f	2556	0	20448	0
date.d_year	static_vbp_f<vbp_l<11, 8> >	static_vbp_f<vbp_l<bw, 8> >	2556	2048	8288	2816
date.d_year	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2556	2048	15264	2880
date.d_year	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2556	2048	21728	1024
date.d_year	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2556	2048	21472	640
lineorder.lo_custkey	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_custkey	static_vbp_f<vbp_l<22, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1650109064	1650104192
lineorder.lo_custkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	600038145	600037888	1651286536	1651276160
lineorder.lo_custkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	4837824136	4837801344
lineorder.lo_custkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	1692315848	1692292928
X_240_1	uncompr_f	uncompr_f	11574716	0	92597728	0
