colName	format	repetition	runtime
X_136_0	static_vbp_10	3	7713568
X_136_0	static_vbp_16	1	7528058
X_136_0	static_vbp_16	2	7996556
X_136_0	static_vbp_16	3	7560729
X_136_1	static_vbp_9	1	7417386
X_136_1	static_vbp_9	2	7337428
X_136_1	static_vbp_9	3	7338518
X_136_1	static_vbp_10	1	7424587
X_136_1	static_vbp_10	2	7686520
X_136_1	static_vbp_10	3	7610057
X_136_1	static_vbp_16	1	7723279
X_136_1	static_vbp_16	2	7569270
X_136_1	static_vbp_16	3	7686510
X_138	static_vbp_11	1	7594037
X_138	static_vbp_11	2	7319902
X_138	static_vbp_11	3	7355053
X_138	static_vbp_12	1	7391081
X_138	static_vbp_12	2	7717761
X_138	static_vbp_12	3	7814339
X_138	static_vbp_16	1	7760672
X_138	static_vbp_16	2	7421354
X_138	static_vbp_16	3	7584210
C_140	static_vbp_5	1	7771324
C_140	static_vbp_5	2	7516199
C_140	static_vbp_5	3	7484948
C_140	static_vbp_6	1	7559328
C_140	static_vbp_6	2	7572173
C_140	static_vbp_6	3	7488639
C_140	static_vbp_8	1	7340040
C_140	static_vbp_8	2	7825562
C_140	static_vbp_8	3	7610551
C_140	dynamic_vbp	1	7444392
C_140	dynamic_vbp	2	7531923
C_140	dynamic_vbp	3	7753099
C_140	delta+dynamic_vbp	1	7495775
C_140	delta+dynamic_vbp	2	7524491
C_140	delta+dynamic_vbp	3	7675330
C_140	for+dynamic_vbp	1	7568496
C_140	for+dynamic_vbp	2	7670892
C_140	for+dynamic_vbp	3	7848067
X_132_0	static_vbp_24	1	7167422
X_132_0	static_vbp_24	2	7129652
X_132_0	static_vbp_24	3	7210296
X_132_0	static_vbp_32	1	7627676
X_132_0	static_vbp_32	2	7541928
X_132_0	static_vbp_32	3	7632676
X_132_1	static_vbp_24	1	7629796
X_132_1	static_vbp_24	2	7481202
X_132_1	static_vbp_24	3	7970579
X_132_1	static_vbp_32	1	7435737
X_132_1	static_vbp_32	2	7458760
X_132_1	static_vbp_32	3	7663292
